id,left_title,right_title,left_authors,right_authors,left_keywords,right_keywords
173,bias and fairness in machine learning and artificial intelligence,"artificial intelligence, intersectionality, and the future of public health","cirillo d,rementeria mj","bauer gr,lizotte dj","artificial intelligence,bias,fairness,model development","ajph,apha,american,association,health,journal,public,ethics,infrastructure,policy,practice"
174,bias and fairness in machine learning and artificial intelligence,a perspective on fairness in artificial intelligence,"cirillo d,rementeria mj",bhattacharya p,"artificial intelligence,bias,fairness,model development","a perspective on fairness in artificial intelligence,priyanka bhattacharya,ssrn,artificial intelligence,biases,consumer information,fairness,privacy laws"
175,bias and fairness in machine learning and artificial intelligence,using edge cases to disentangle fairness and solidarity in ai ethics,"cirillo d,rementeria mj",brusseau j,"artificial intelligence,bias,fairness,model development","artificial intelligence,ethics,fairness,philosophy,solidarity"
176,bias and fairness in machine learning and artificial intelligence,fairness & friends in the data science era,"cirillo d,rementeria mj","catania b,guerrini g,accinelli c","artificial intelligence,bias,fairness,model development","data-informed automated decision system,diversity,fairness,nondiscrimination,processing pipeline"
177,bias and fairness in machine learning and artificial intelligence,a sociotechnical view of algorithmic fairness,"cirillo d,rementeria mj","dolata m,feuerriegel s,schwabe g","artificial intelligence,bias,fairness,model development","algorithmic fairness,literature review,problematization,research agenda,sociotechnical perspective,state of the art"
178,bias and fairness in machine learning and artificial intelligence,ai-enabled radio resource allocation in 5g for urllc and embb users,"cirillo d,rementeria mj","elsayed m,erol-kantarci m","artificial intelligence,bias,fairness,model development","5g mobile communication,delays,quality of service,reliability,resource management,throughput"
179,bias and fairness in machine learning and artificial intelligence,"addressing fairness, bias, and appropriate use of artificial intelligence and machine learning in global health","cirillo d,rementeria mj","fletcher rr,nakeshimana a,...","artificial intelligence,bias,fairness,model development","appropriate use,artificial intelligence,bias,ethics,fairness,global health,machine learning,medicine"
180,bias and fairness in machine learning and artificial intelligence,rawls's original position and algorithmic fairness,"cirillo d,rementeria mj",franke u,"artificial intelligence,bias,fairness,model development","algorithmic fairness,original position,veil of ignorance,veil of uncertainty"
181,bias and fairness in machine learning and artificial intelligence,an ontology for fairness metrics,"cirillo d,rementeria mj","franklin js,bhanot k,ghalwash m,bennett kp,mccusker j,mcguinness dl","artificial intelligence,bias,fairness,model development","bias,fairness metric,machine learning evaluation,rdf knowledge graph"
182,bias and fairness in machine learning and artificial intelligence,understanding decision subjects' fairness perceptions and retention in repeated interactions with ai-based decision systems,"cirillo d,rementeria mj","gemalmaz ma,yin m","artificial intelligence,bias,fairness,model development","ai-based decision systems,fairness,fairness perceptions,human-ai interaction,human-subject experiments,retention"
183,bias and fairness in machine learning and artificial intelligence,beyond bias and discrimination: redefining the ai ethics principle of fairness in healthcare machine-learning algorithms,"cirillo d,rementeria mj","giovanola b,tiribelli s","artificial intelligence,bias,fairness,model development","bias,discrimination,ethics of algorithms,fairness,healthcare machine-learning algorithms,respect"
184,bias and fairness in machine learning and artificial intelligence,marrying fairness and explainability in supervised learning,"cirillo d,rementeria mj","grabowicz pa,perello n,mishra a","artificial intelligence,bias,fairness,model development","algorithmic fairness,discrimination,explainability,machine learning,supervised learning"
185,bias and fairness in machine learning and artificial intelligence,speciesist bias in ai: how ai applications perpetuate discrimination and unfair outcomes against animals,"cirillo d,rementeria mj","hagendorff t,bossert ln,yip textperiodcentered,tse f,singer textperiodcenteredp","artificial intelligence,bias,fairness,model development","artificial intelligence,ethics,fairness,machine learning,speciesism,speciesist bias"
186,bias and fairness in machine learning and artificial intelligence,who is the fairest of them all? public attitudes and expectations regarding automated decision-making,"cirillo d,rementeria mj","helberger n,araujo t,de vreese ch","artificial intelligence,bias,fairness,model development","algorithmic fairness,automated-decision making,public perceptions"
187,bias and fairness in machine learning and artificial intelligence,principal fairness for human and algorithmic decision-making,"cirillo d,rementeria mj","imai k,jiang z","artificial intelligence,bias,fairness,model development","algorithmic fairness,causal inference,potential outcomes,principal stratification"
188,bias and fairness in machine learning and artificial intelligence,how different groups prioritize ethical values for responsible ai,"cirillo d,rementeria mj","jakesch m,buÃ§inca z,amershi s,olteanu a","artificial intelligence,bias,fairness,model development","responsible ai,empirical ethics,value-sensitive design"
189,bias and fairness in machine learning and artificial intelligence,"introduction to the special issue on ai fairness, trust, and ethics","cirillo d,rementeria mj","jr lp,bansal g,melville n,...","artificial intelligence,bias,fairness,model development","ai bias,ai fairness,ai trust,artificial intelligence"
190,bias and fairness in machine learning and artificial intelligence,exploring bias and fairness in artificial intelligence and machine learning algorithms,"cirillo d,rementeria mj","khakurel ub,abdelmoumin g,bajracharya a,rawat db","artificial intelligence,bias,fairness,model development","artificial intelligence,detection and tracking algorithms,machine learning,performance modeling,systems modeling"
191,bias and fairness in machine learning and artificial intelligence,ai & intellectual property: towards an articulated public domain,"cirillo d,rementeria mj",kop m,"artificial intelligence,bias,fairness,model development","founder of musicajuridica and strategic in- tellectual property lawyer at alrecht in amsterdam,james grimmelmann (cornell law school),joao pedro quintais (ivir) and suzan slijpen (slijpen legal),for their valuable contributions,insight and comments"
192,bias and fairness in machine learning and artificial intelligence,a survey on datasets for fairness-aware machine learning,"cirillo d,rementeria mj","le quy t,roy a,iosifidis v,zhang w,ntoutsi e","artificial intelligence,bias,fairness,model development","aware machine learning,benchmark datasets,bias,datasets for fairness,discrimination,fairness"
193,bias and fairness in machine learning and artificial intelligence,revealing factors influencing students' perceived fairness: a case with a predictive system for math learning,"cirillo d,rementeria mj","li c,xing w","artificial intelligence,bias,fairness,model development","fair ai,human-centered computing,math learning,perceived fairness"
194,bias and fairness in machine learning and artificial intelligence,fmea-ai: ai fairness impact assessment using failure mode and effects analysis,"cirillo d,rementeria mj","li j,chignell textperiodcenteredm","artificial intelligence,bias,fairness,model development","artificial intelligence,ethics,human rights impact assessments,proportional satisfaction of claims,risk analysis"
195,bias and fairness in machine learning and artificial intelligence,trustworthy ai: from principles to practices,"cirillo d,rementeria mj","libo,qipeng,liubo,dishuai,liujingen,peijiquan,yijinfeng,zhoubowen","artificial intelligence,bias,fairness,model development","trustworthy ai,accountability,explainability,fairness,generalization,privacy protection,reproducibility,robustness,transparency"
196,bias and fairness in machine learning and artificial intelligence,"assessing the fairness of ai systems: ai practitioners' processes, challenges, and needs for support","cirillo d,rementeria mj","madaio m,egede l,subramonyam h,wortman vaughan j,wallach h","artificial intelligence,bias,fairness,model development","ai,fairness,machine learning,software development practices"
197,bias and fairness in machine learning and artificial intelligence,assessing ai fairness in finance,"cirillo d,rementeria mj","mccalman l,steinberg d,abuhamad g,brunet me,williamson rc,zemel r,lin hy","artificial intelligence,bias,fairness,model development","artificial intelligence,bank data processing"
198,bias and fairness in machine learning and artificial intelligence,"ai4people - on good ai governance: 14 priority actions, a s.m.a.r.t. model of governance, and a regulatory toolbox","cirillo d,rementeria mj","pagallo u,aurucci p,casanovas p,chatila r,chazerand p,dignum v,luetge c,madelin r,schafer b,valcke p","artificial intelligence,bias,fairness,model development","ai4people - on good ai governance: 14 priority actions,artificial intelligence,burkhard schafer,christoph luetge,governance,paola aurucci,patrice chazerand,peggy valcke,pompeu casanovas,raja chatila,regulation,robert madelin,ssrn,ugo pagallo,virginia dignum,a s.m.a.r.t. model of governance,and a regulatory toolbox"
199,bias and fairness in machine learning and artificial intelligence,improving fairness of artificial intelligence algorithms in privileged-group selection bias data settings,"cirillo d,rementeria mj","pessach d,shmueli e","artificial intelligence,bias,fairness,model development","algorithmic bias,algorithmic fairness,fairness-aware machine learning,selection bias,semi-supervised learning"
200,bias and fairness in machine learning and artificial intelligence,artificial intelligence evolution: on the virtue of killing in the artificial age,"cirillo d,rementeria mj",puaschunder jm,"artificial intelligence,bias,fairness,model development","ai,ai-evolution,algorithms,cognitive robotics,emerging technologies,ethical issues,"
201,bias and fairness in machine learning and artificial intelligence,"on the relationship between explanations, fairness perceptions, and decisions","cirillo d,rementeria mj","schoeffer j,de-arteaga m,kuehl n","artificial intelligence,bias,fairness,model development","author keywords algorithmic decision-making,explanations,fairness,human-ai complementarity,perceptions,reliance"
202,bias and fairness in machine learning and artificial intelligence,linear versus nonlinear allocation rules in risk sharing under financial fairness,"cirillo d,rementeria mj",schumacher jm,"artificial intelligence,bias,fairness,model development","borch theorem,risk sharing,allocation rules,financial fairness,syndicates"
203,bias and fairness in machine learning and artificial intelligence,artificial intelligence in human resources management: challenges and a path forward,"cirillo d,rementeria mj","tambe p,cappelli p,yakubovich v","artificial intelligence,bias,fairness,model development","data analysis,decision-making tools,hiring and recruitment,human capital,human resource ethics,information systems"
204,bias and fairness in machine learning and artificial intelligence,a framework for social fairness â€“ insights from two algorithmic decision â€“ making controversies in the netherlands,"cirillo d,rementeria mj","timan t,grommÃ© f","artificial intelligence,bias,fairness,model development","ai,fairness,framework,francisca grommÃ©,ssrn,tjerk timan"
205,bias and fairness in machine learning and artificial intelligence,artificial intelligence applications for older adults and people with disabilities: balancing safety and autonomy: proceedings of a workshopâ€”in brief,"cirillo d,rementeria mj","undefined,ta l,cm c","artificial intelligence,bias,fairness,model development","europe pmc,europe pubmed central,orcids,rest apis,abstracts,bioinformatics,biological patents,biomedical journals,biomedical research,citation networks,citation search,clinical guidelines,full text,journal articles,life sciences,literature search,open access,research articles,text mining"
206,bias and fairness in machine learning and artificial intelligence,ai ethics in industry: a research framework,"cirillo d,rementeria mj","ville v,kai-kristian k,pekka a","artificial intelligence,bias,fairness,model development","ai development,ai ethics,accountability,artificial intelligence,research framework,responsibility,transparency"
207,bias and fairness in machine learning and artificial intelligence,why fairness cannot be automated: bridging the gap between eu non-discrimination law and ai,"cirillo d,rementeria mj","wachter s,mittelstadt b,russell c","artificial intelligence,bias,fairness,model development","algorithm,artificial intelligence,bias,demographic parity,discrimination,european union,fairness,law,machine learning,non-discrimination"
208,bias and fairness in machine learning and artificial intelligence,user association and resource allocation in full-duplex relay aided noma systems,"cirillo d,rementeria mj","wang l,ai y,liu n,fei a","artificial intelligence,bias,fairness,model development","full-duplex (fd) relaying,nonorthogonal multiple access (noma),resource allocation"
209,bias and fairness in machine learning and artificial intelligence,artificial intelligence and the public sectorâ€”applications and challenges,"cirillo d,rementeria mj","wirtz bw,weyerer jc,geyer c","artificial intelligence,bias,fairness,model development","ai applications,ai challenges,artificial intelligence,public sector"
210,bias and fairness in machine learning and artificial intelligence,the rising tide of artificial intelligence and business automation: developing an ethical framework,"cirillo d,rementeria mj","wright sa,schultz ae","artificial intelligence,bias,fairness,model development","artificial intelligence,automation,business ethics,social contracts theory,stakeholder theory,work displacement"
211,bias and fairness in machine learning and artificial intelligence,achieving causal fairness through generative adversarial networks,"cirillo d,rementeria mj","xu d,wu y,yuan s,zhang l,wu x","artificial intelligence,bias,fairness,model development","humans and ai: ethical issues in ai,machine learning: adversarial machine learning,machine learning: learning generative models"
212,bias and fairness in machine learning and artificial intelligence,algorithmic fairness in computational medicine,"cirillo d,rementeria mj","xu j,xiao y,wang wh,ning y,shenkman ea,bian j,wang f","artificial intelligence,bias,fairness,model development","algorithmic fairness,computational medicine"
213,bias and fairness in machine learning and artificial intelligence,effective exposure amortizing for fair top-k recommendation,"cirillo d,rementeria mj","yang t,xu z,ai q","artificial intelligence,bias,fairness,model development","ccs concepts â€¢ information systems â†’ recommender systems; learning to rank keywords fair ranking,exposure,position bias,top-Ã­ ÂµÃ­Â±Â˜ recommendation"
214,bias and fairness in machine learning and artificial intelligence,"""zhores"" - petaflops supercomputer for data-driven modeling, machine learning and artificial intelligence installed in skolkovo institute of science and technology","cirillo d,rementeria mj","zacharov i,arslanov r,gunin m,stefonishin d,bykov a,pavlov s,panarin o,maliutin a,rykovanov s,fedorov m","artificial intelligence,bias,fairness,model development","computer scalability,computing clusters,energy efficiency,high performance computing,high speed networks,parallel computation"
215,bias and fairness in machine learning and artificial intelligence,flexible and adaptive fairness-aware learning in non-stationary data streams,"cirillo d,rementeria mj","zhang w,zhang m,zhang j,liu z,...","artificial intelligence,bias,fairness,model development","ai fairness,flexible fairness,online classification"
216,bias and fairness in machine learning and artificial intelligence,introduction to ai fairness,"cirillo d,rementeria mj","zhang y,bellamy r,liao qv,singh m","artificial intelligence,bias,fairness,model development","algorithmic fairness,bias,decision support,discrimination-aware machine"
217,bias and fairness in machine learning and artificial intelligence,"bias, fairness and accountability with artificial intelligence and machine learning algorithms","cirillo d,rementeria mj","zhou n,zhang z,nair vn,singhal h,chen j","artificial intelligence,bias,fairness,model development","ai,ml,algorithm,bias,fairness"
218,bias and fairness in machine learning and artificial intelligence,applying differential privacy mechanism in artificial intelligence,"cirillo d,rementeria mj","zhu t,yu ps","artificial intelligence,bias,fairness,model development","artificial intelligence,differential privacy,federated learning,multi-agent system,reinforcement learning"
219,a sociotechnical view of algorithmic fairness,"artificial intelligence, intersectionality, and the future of public health","dolata m,feuerriegel s,schwabe g","bauer gr,lizotte dj","algorithmic fairness,literature review,problematization,research agenda,sociotechnical perspective,state of the art","ajph,apha,american,association,health,journal,public,ethics,infrastructure,policy,practice"
220,a sociotechnical view of algorithmic fairness,ai-enabled radio resource allocation in 5g for urllc and embb users,"dolata m,feuerriegel s,schwabe g","elsayed m,erol-kantarci m","algorithmic fairness,literature review,problematization,research agenda,sociotechnical perspective,state of the art","5g mobile communication,delays,quality of service,reliability,resource management,throughput"
221,a sociotechnical view of algorithmic fairness,"ai4people - on good ai governance: 14 priority actions, a s.m.a.r.t. model of governance, and a regulatory toolbox","dolata m,feuerriegel s,schwabe g","pagallo u,aurucci p,casanovas p,chatila r,chazerand p,dignum v,luetge c,madelin r,schafer b,valcke p","algorithmic fairness,literature review,problematization,research agenda,sociotechnical perspective,state of the art","ai4people - on good ai governance: 14 priority actions,artificial intelligence,burkhard schafer,christoph luetge,governance,paola aurucci,patrice chazerand,peggy valcke,pompeu casanovas,raja chatila,regulation,robert madelin,ssrn,ugo pagallo,virginia dignum,a s.m.a.r.t. model of governance,and a regulatory toolbox"
222,a sociotechnical view of algorithmic fairness,flexible and adaptive fairness-aware learning in non-stationary data streams,"dolata m,feuerriegel s,schwabe g","zhang w,zhang m,zhang j,liu z,...","algorithmic fairness,literature review,problematization,research agenda,sociotechnical perspective,state of the art","ai fairness,flexible fairness,online classification"
223,ai-enabled radio resource allocation in 5g for urllc and embb users,"artificial intelligence, intersectionality, and the future of public health","elsayed m,erol-kantarci m","bauer gr,lizotte dj","5g mobile communication,delays,quality of service,reliability,resource management,throughput","ajph,apha,american,association,health,journal,public,ethics,infrastructure,policy,practice"
224,ai-enabled radio resource allocation in 5g for urllc and embb users,"ai4people - on good ai governance: 14 priority actions, a s.m.a.r.t. model of governance, and a regulatory toolbox","elsayed m,erol-kantarci m","pagallo u,aurucci p,casanovas p,chatila r,chazerand p,dignum v,luetge c,madelin r,schafer b,valcke p","5g mobile communication,delays,quality of service,reliability,resource management,throughput","ai4people - on good ai governance: 14 priority actions,artificial intelligence,burkhard schafer,christoph luetge,governance,paola aurucci,patrice chazerand,peggy valcke,pompeu casanovas,raja chatila,regulation,robert madelin,ssrn,ugo pagallo,virginia dignum,a s.m.a.r.t. model of governance,and a regulatory toolbox"
225,"addressing fairness, bias, and appropriate use of artificial intelligence and machine learning in global health",transparency and explainability of ai systems: ethical guidelines in practice,"fletcher rr,nakeshimana a,...","balasubramaniam n,kauppinen m,hiekkanen k,kujala s","appropriate use,artificial intelligence,bias,ethics,fairness,global health,machine learning,medicine","ai systems,ethical guidelines,explainability,quality requirements,transparency"
226,"addressing fairness, bias, and appropriate use of artificial intelligence and machine learning in global health","artificial intelligence, intersectionality, and the future of public health","fletcher rr,nakeshimana a,...","bauer gr,lizotte dj","appropriate use,artificial intelligence,bias,ethics,fairness,global health,machine learning,medicine","ajph,apha,american,association,health,journal,public,ethics,infrastructure,policy,practice"
227,"addressing fairness, bias, and appropriate use of artificial intelligence and machine learning in global health",fairness & friends in the data science era,"fletcher rr,nakeshimana a,...","catania b,guerrini g,accinelli c","appropriate use,artificial intelligence,bias,ethics,fairness,global health,machine learning,medicine","data-informed automated decision system,diversity,fairness,nondiscrimination,processing pipeline"
228,"addressing fairness, bias, and appropriate use of artificial intelligence and machine learning in global health",a sociotechnical view of algorithmic fairness,"fletcher rr,nakeshimana a,...","dolata m,feuerriegel s,schwabe g","appropriate use,artificial intelligence,bias,ethics,fairness,global health,machine learning,medicine","algorithmic fairness,literature review,problematization,research agenda,sociotechnical perspective,state of the art"
229,"addressing fairness, bias, and appropriate use of artificial intelligence and machine learning in global health",ai-enabled radio resource allocation in 5g for urllc and embb users,"fletcher rr,nakeshimana a,...","elsayed m,erol-kantarci m","appropriate use,artificial intelligence,bias,ethics,fairness,global health,machine learning,medicine","5g mobile communication,delays,quality of service,reliability,resource management,throughput"
230,"addressing fairness, bias, and appropriate use of artificial intelligence and machine learning in global health",beyond bias and discrimination: redefining the ai ethics principle of fairness in healthcare machine-learning algorithms,"fletcher rr,nakeshimana a,...","giovanola b,tiribelli s","appropriate use,artificial intelligence,bias,ethics,fairness,global health,machine learning,medicine","bias,discrimination,ethics of algorithms,fairness,healthcare machine-learning algorithms,respect"
231,"addressing fairness, bias, and appropriate use of artificial intelligence and machine learning in global health",who is the fairest of them all? public attitudes and expectations regarding automated decision-making,"fletcher rr,nakeshimana a,...","helberger n,araujo t,de vreese ch","appropriate use,artificial intelligence,bias,ethics,fairness,global health,machine learning,medicine","algorithmic fairness,automated-decision making,public perceptions"
232,"addressing fairness, bias, and appropriate use of artificial intelligence and machine learning in global health",principal fairness for human and algorithmic decision-making,"fletcher rr,nakeshimana a,...","imai k,jiang z","appropriate use,artificial intelligence,bias,ethics,fairness,global health,machine learning,medicine","algorithmic fairness,causal inference,potential outcomes,principal stratification"
233,"addressing fairness, bias, and appropriate use of artificial intelligence and machine learning in global health","introduction to the special issue on ai fairness, trust, and ethics","fletcher rr,nakeshimana a,...","jr lp,bansal g,melville n,...","appropriate use,artificial intelligence,bias,ethics,fairness,global health,machine learning,medicine","ai bias,ai fairness,ai trust,artificial intelligence"
234,"addressing fairness, bias, and appropriate use of artificial intelligence and machine learning in global health",exploring bias and fairness in artificial intelligence and machine learning algorithms,"fletcher rr,nakeshimana a,...","khakurel ub,abdelmoumin g,bajracharya a,rawat db","appropriate use,artificial intelligence,bias,ethics,fairness,global health,machine learning,medicine","artificial intelligence,detection and tracking algorithms,machine learning,performance modeling,systems modeling"
235,"addressing fairness, bias, and appropriate use of artificial intelligence and machine learning in global health",ai & intellectual property: towards an articulated public domain,"fletcher rr,nakeshimana a,...",kop m,"appropriate use,artificial intelligence,bias,ethics,fairness,global health,machine learning,medicine","founder of musicajuridica and strategic in- tellectual property lawyer at alrecht in amsterdam,james grimmelmann (cornell law school),joao pedro quintais (ivir) and suzan slijpen (slijpen legal),for their valuable contributions,insight and comments"
236,"addressing fairness, bias, and appropriate use of artificial intelligence and machine learning in global health",a survey on datasets for fairness-aware machine learning,"fletcher rr,nakeshimana a,...","le quy t,roy a,iosifidis v,zhang w,ntoutsi e","appropriate use,artificial intelligence,bias,ethics,fairness,global health,machine learning,medicine","aware machine learning,benchmark datasets,bias,datasets for fairness,discrimination,fairness"
237,"addressing fairness, bias, and appropriate use of artificial intelligence and machine learning in global health",revealing factors influencing students' perceived fairness: a case with a predictive system for math learning,"fletcher rr,nakeshimana a,...","li c,xing w","appropriate use,artificial intelligence,bias,ethics,fairness,global health,machine learning,medicine","fair ai,human-centered computing,math learning,perceived fairness"
238,"addressing fairness, bias, and appropriate use of artificial intelligence and machine learning in global health",trustworthy ai: from principles to practices,"fletcher rr,nakeshimana a,...","libo,qipeng,liubo,dishuai,liujingen,peijiquan,yijinfeng,zhoubowen","appropriate use,artificial intelligence,bias,ethics,fairness,global health,machine learning,medicine","trustworthy ai,accountability,explainability,fairness,generalization,privacy protection,reproducibility,robustness,transparency"
239,"addressing fairness, bias, and appropriate use of artificial intelligence and machine learning in global health","assessing the fairness of ai systems: ai practitioners' processes, challenges, and needs for support","fletcher rr,nakeshimana a,...","madaio m,egede l,subramonyam h,wortman vaughan j,wallach h","appropriate use,artificial intelligence,bias,ethics,fairness,global health,machine learning,medicine","ai,fairness,machine learning,software development practices"
240,"addressing fairness, bias, and appropriate use of artificial intelligence and machine learning in global health","ai4people - on good ai governance: 14 priority actions, a s.m.a.r.t. model of governance, and a regulatory toolbox","fletcher rr,nakeshimana a,...","pagallo u,aurucci p,casanovas p,chatila r,chazerand p,dignum v,luetge c,madelin r,schafer b,valcke p","appropriate use,artificial intelligence,bias,ethics,fairness,global health,machine learning,medicine","ai4people - on good ai governance: 14 priority actions,artificial intelligence,burkhard schafer,christoph luetge,governance,paola aurucci,patrice chazerand,peggy valcke,pompeu casanovas,raja chatila,regulation,robert madelin,ssrn,ugo pagallo,virginia dignum,a s.m.a.r.t. model of governance,and a regulatory toolbox"
241,"addressing fairness, bias, and appropriate use of artificial intelligence and machine learning in global health",artificial intelligence in human resources management: challenges and a path forward,"fletcher rr,nakeshimana a,...","tambe p,cappelli p,yakubovich v","appropriate use,artificial intelligence,bias,ethics,fairness,global health,machine learning,medicine","data analysis,decision-making tools,hiring and recruitment,human capital,human resource ethics,information systems"
242,"addressing fairness, bias, and appropriate use of artificial intelligence and machine learning in global health",ai ethics in industry: a research framework,"fletcher rr,nakeshimana a,...","ville v,kai-kristian k,pekka a","appropriate use,artificial intelligence,bias,ethics,fairness,global health,machine learning,medicine","ai development,ai ethics,accountability,artificial intelligence,research framework,responsibility,transparency"
243,"addressing fairness, bias, and appropriate use of artificial intelligence and machine learning in global health",artificial intelligence and the public sectorâ€”applications and challenges,"fletcher rr,nakeshimana a,...","wirtz bw,weyerer jc,geyer c","appropriate use,artificial intelligence,bias,ethics,fairness,global health,machine learning,medicine","ai applications,ai challenges,artificial intelligence,public sector"
244,"addressing fairness, bias, and appropriate use of artificial intelligence and machine learning in global health",effective exposure amortizing for fair top-k recommendation,"fletcher rr,nakeshimana a,...","yang t,xu z,ai q","appropriate use,artificial intelligence,bias,ethics,fairness,global health,machine learning,medicine","ccs concepts â€¢ information systems â†’ recommender systems; learning to rank keywords fair ranking,exposure,position bias,top-Ã­ ÂµÃ­Â±Â˜ recommendation"
245,"addressing fairness, bias, and appropriate use of artificial intelligence and machine learning in global health",flexible and adaptive fairness-aware learning in non-stationary data streams,"fletcher rr,nakeshimana a,...","zhang w,zhang m,zhang j,liu z,...","appropriate use,artificial intelligence,bias,ethics,fairness,global health,machine learning,medicine","ai fairness,flexible fairness,online classification"
246,"addressing fairness, bias, and appropriate use of artificial intelligence and machine learning in global health","bias, fairness and accountability with artificial intelligence and machine learning algorithms","fletcher rr,nakeshimana a,...","zhou n,zhang z,nair vn,singhal h,chen j","appropriate use,artificial intelligence,bias,ethics,fairness,global health,machine learning,medicine","ai,ml,algorithm,bias,fairness"
247,"addressing fairness, bias, and appropriate use of artificial intelligence and machine learning in global health",applying differential privacy mechanism in artificial intelligence,"fletcher rr,nakeshimana a,...","zhu t,yu ps","appropriate use,artificial intelligence,bias,ethics,fairness,global health,machine learning,medicine","artificial intelligence,differential privacy,federated learning,multi-agent system,reinforcement learning"
248,rawls's original position and algorithmic fairness,transparency and explainability of ai systems: ethical guidelines in practice,franke u,"balasubramaniam n,kauppinen m,hiekkanen k,kujala s","algorithmic fairness,original position,veil of ignorance,veil of uncertainty","ai systems,ethical guidelines,explainability,quality requirements,transparency"
249,rawls's original position and algorithmic fairness,"artificial intelligence, intersectionality, and the future of public health",franke u,"bauer gr,lizotte dj","algorithmic fairness,original position,veil of ignorance,veil of uncertainty","ajph,apha,american,association,health,journal,public,ethics,infrastructure,policy,practice"
250,rawls's original position and algorithmic fairness,fairness & friends in the data science era,franke u,"catania b,guerrini g,accinelli c","algorithmic fairness,original position,veil of ignorance,veil of uncertainty","data-informed automated decision system,diversity,fairness,nondiscrimination,processing pipeline"
251,rawls's original position and algorithmic fairness,a sociotechnical view of algorithmic fairness,franke u,"dolata m,feuerriegel s,schwabe g","algorithmic fairness,original position,veil of ignorance,veil of uncertainty","algorithmic fairness,literature review,problematization,research agenda,sociotechnical perspective,state of the art"
252,rawls's original position and algorithmic fairness,ai-enabled radio resource allocation in 5g for urllc and embb users,franke u,"elsayed m,erol-kantarci m","algorithmic fairness,original position,veil of ignorance,veil of uncertainty","5g mobile communication,delays,quality of service,reliability,resource management,throughput"
253,rawls's original position and algorithmic fairness,"addressing fairness, bias, and appropriate use of artificial intelligence and machine learning in global health",franke u,"fletcher rr,nakeshimana a,...","algorithmic fairness,original position,veil of ignorance,veil of uncertainty","appropriate use,artificial intelligence,bias,ethics,fairness,global health,machine learning,medicine"
254,rawls's original position and algorithmic fairness,beyond bias and discrimination: redefining the ai ethics principle of fairness in healthcare machine-learning algorithms,franke u,"giovanola b,tiribelli s","algorithmic fairness,original position,veil of ignorance,veil of uncertainty","bias,discrimination,ethics of algorithms,fairness,healthcare machine-learning algorithms,respect"
255,rawls's original position and algorithmic fairness,speciesist bias in ai: how ai applications perpetuate discrimination and unfair outcomes against animals,franke u,"hagendorff t,bossert ln,yip textperiodcentered,tse f,singer textperiodcenteredp","algorithmic fairness,original position,veil of ignorance,veil of uncertainty","artificial intelligence,ethics,fairness,machine learning,speciesism,speciesist bias"
256,rawls's original position and algorithmic fairness,who is the fairest of them all? public attitudes and expectations regarding automated decision-making,franke u,"helberger n,araujo t,de vreese ch","algorithmic fairness,original position,veil of ignorance,veil of uncertainty","algorithmic fairness,automated-decision making,public perceptions"
257,rawls's original position and algorithmic fairness,principal fairness for human and algorithmic decision-making,franke u,"imai k,jiang z","algorithmic fairness,original position,veil of ignorance,veil of uncertainty","algorithmic fairness,causal inference,potential outcomes,principal stratification"
258,rawls's original position and algorithmic fairness,"introduction to the special issue on ai fairness, trust, and ethics",franke u,"jr lp,bansal g,melville n,...","algorithmic fairness,original position,veil of ignorance,veil of uncertainty","ai bias,ai fairness,ai trust,artificial intelligence"
259,rawls's original position and algorithmic fairness,exploring bias and fairness in artificial intelligence and machine learning algorithms,franke u,"khakurel ub,abdelmoumin g,bajracharya a,rawat db","algorithmic fairness,original position,veil of ignorance,veil of uncertainty","artificial intelligence,detection and tracking algorithms,machine learning,performance modeling,systems modeling"
260,rawls's original position and algorithmic fairness,ai & intellectual property: towards an articulated public domain,franke u,kop m,"algorithmic fairness,original position,veil of ignorance,veil of uncertainty","founder of musicajuridica and strategic in- tellectual property lawyer at alrecht in amsterdam,james grimmelmann (cornell law school),joao pedro quintais (ivir) and suzan slijpen (slijpen legal),for their valuable contributions,insight and comments"
261,rawls's original position and algorithmic fairness,a survey on datasets for fairness-aware machine learning,franke u,"le quy t,roy a,iosifidis v,zhang w,ntoutsi e","algorithmic fairness,original position,veil of ignorance,veil of uncertainty","aware machine learning,benchmark datasets,bias,datasets for fairness,discrimination,fairness"
262,rawls's original position and algorithmic fairness,revealing factors influencing students' perceived fairness: a case with a predictive system for math learning,franke u,"li c,xing w","algorithmic fairness,original position,veil of ignorance,veil of uncertainty","fair ai,human-centered computing,math learning,perceived fairness"
263,rawls's original position and algorithmic fairness,fmea-ai: ai fairness impact assessment using failure mode and effects analysis,franke u,"li j,chignell textperiodcenteredm","algorithmic fairness,original position,veil of ignorance,veil of uncertainty","artificial intelligence,ethics,human rights impact assessments,proportional satisfaction of claims,risk analysis"
264,rawls's original position and algorithmic fairness,trustworthy ai: from principles to practices,franke u,"libo,qipeng,liubo,dishuai,liujingen,peijiquan,yijinfeng,zhoubowen","algorithmic fairness,original position,veil of ignorance,veil of uncertainty","trustworthy ai,accountability,explainability,fairness,generalization,privacy protection,reproducibility,robustness,transparency"
265,rawls's original position and algorithmic fairness,"assessing the fairness of ai systems: ai practitioners' processes, challenges, and needs for support",franke u,"madaio m,egede l,subramonyam h,wortman vaughan j,wallach h","algorithmic fairness,original position,veil of ignorance,veil of uncertainty","ai,fairness,machine learning,software development practices"
